type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,desc,link
TRACK,4/17/2024 13:56,T1,21.30391901,-157.87047,21.30391901,-157.87047,,TRUE,TRUE,,,49.65,,,2024/04/16 23:54:13+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 13:54,,
TRACK,4/17/2024 13:56,T1,21.30392312,-157.8704862,21.30392312,-157.8704862,,FALSE,FALSE,,,50.61,,,2024/04/16 23:54:14+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 13:54,,
TRACK,4/17/2024 13:56,T1,21.30392379,-157.8705048,21.30392379,-157.8705048,,FALSE,FALSE,,,52.05,,,2024/04/16 23:54:15+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 13:54,,
TRACK,4/17/2024 13:56,T1,21.30392371,-157.8705056,21.30392371,-157.8705056,,FALSE,FALSE,,,52.53,,,2024/04/16 23:54:16+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 13:54,,
TRACK,4/17/2024 13:56,T1,21.30392195,-157.8705064,21.30392195,-157.8705064,,FALSE,FALSE,,,53.01,,,2024/04/16 23:54:17+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 13:54,,
TRACK,4/17/2024 13:56,T1,21.30391692,-157.8705108,21.30391692,-157.8705108,,FALSE,FALSE,,,53.97,,,2024/04/16 23:54:18+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 13:54,,
TRACK,4/17/2024 13:56,T1,21.30391281,-157.8705178,21.30391281,-157.8705178,,FALSE,FALSE,,,53.97,,,2024/04/16 23:54:19+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 13:54,,
TRACK,4/17/2024 13:56,T1,21.3039087,-157.8705218,21.3039087,-157.8705218,,FALSE,FALSE,,,54.45,,,2024/04/16 23:54:20+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 13:54,,
TRACK,4/17/2024 13:56,T1,21.30390711,-157.8705273,21.30390711,-157.8705273,,FALSE,FALSE,,,55.41,,,2024/04/16 23:54:21+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 13:54,,
TRACK,4/17/2024 13:56,T1,21.30390493,-157.8705293,21.30390493,-157.8705293,,FALSE,FALSE,,,55.89,,,2024/04/16 23:54:22+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 13:54,,
