type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,desc,link
TRACK,TRIAL,T1,21.31113977,-157.8924508,21.31113977,-157.8924508,,TRUE,TRUE,,,15.52,,,2024/04/17 20:56:46+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 10:56,,
TRACK,TRIAL,T1,21.31111991,-157.8924657,21.31111991,-157.8924657,,FALSE,FALSE,,,16,,,2024/04/17 20:56:47+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 10:56,,
TRACK,TRIAL,T1,21.3111013,-157.8924805,21.3111013,-157.8924805,,FALSE,FALSE,,,16,,,2024/04/17 20:56:48+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 10:56,,
TRACK,TRIAL,T1,21.31108303,-157.8924968,21.31108303,-157.8924968,,FALSE,FALSE,,,16,,,2024/04/17 20:56:49+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 10:56,,
TRACK,TRIAL,T1,21.31106383,-157.8925121,21.31106383,-157.8925121,,FALSE,FALSE,,,16.48,,,2024/04/17 20:56:50+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 10:56,,
TRACK,TRIAL,T1,21.31104514,-157.8925284,21.31104514,-157.8925284,,FALSE,FALSE,,,16.48,,,2024/04/17 20:56:51+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 10:56,,
TRACK,TRIAL,T1,21.31102729,-157.8925431,21.31102729,-157.8925431,,FALSE,FALSE,,,16.48,,,2024/04/17 20:56:52+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 10:56,,
TRACK,TRIAL,T1,21.31100868,-157.8925573,21.31100868,-157.8925573,,FALSE,FALSE,,,16.48,,,2024/04/17 20:56:53+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 10:56,,
TRACK,TRIAL,T1,21.31098806,-157.8925731,21.31098806,-157.8925731,,FALSE,FALSE,,,16.96,,,2024/04/17 20:56:54+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 10:56,,
TRACK,TRIAL,T1,21.3109697,-157.8925902,21.3109697,-157.8925902,,FALSE,FALSE,,,16.96,,,2024/04/17 20:56:55+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 10:56,,
TRACK,TRIAL,T1,21.31095051,-157.892606,21.31095051,-157.892606,,FALSE,FALSE,,,16.96,,,2024/04/17 20:56:56+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 10:56,,
