Dataset_Name,Organization,Topside_Data_Recorder,In-water_Observer,Island,Sub-Island_Region,Survey_Type,GPS_Unit,GPS_Start,GPS_End,Tow_Dive_Number,Date,Time,Damage_Score,Notes
Oahu_HurricaneTEST_Assessment,Group1,Alyssa Varela and Eric Conklin,Shannon R and Zack C,Oahu,Sand Island ,Snorkel Tow,H1,9:43:00,9:50:00,1,4/17/2024,9:43:38,3,
Oahu_HurricaneTEST_Assessment,Group1,Alyssa Varela and Eric Conklin,Shannon R and Zack C,Oahu,Sand Island ,Snorkel Tow,H1,9:43:00,9:50:00,1,4/17/2024,9:43:50,1,
Oahu_HurricaneTEST_Assessment,Group1,Alyssa Varela and Eric Conklin,Shannon R and Zack C,Oahu,Sand Island ,Snorkel Tow,H1,9:43:00,9:50:00,1,4/17/2024,9:43:56,3,
Oahu_HurricaneTEST_Assessment,Group1,Alyssa Varela and Eric Conklin,Shannon R and Zack C,Oahu,Sand Island ,Snorkel Tow,H1,9:43:00,9:50:00,1,4/17/2024,9:44:03,2,
Oahu_HurricaneTEST_Assessment,Group1,Alyssa Varela and Eric Conklin,Shannon R and Zack C,Oahu,Sand Island ,Snorkel Tow,H1,9:43:00,9:50:00,1,4/17/2024,9:44:12,1,
Oahu_HurricaneTEST_Assessment,Group1,Alyssa Varela and Eric Conklin,Shannon R and Zack C,Oahu,Sand Island ,Snorkel Tow,H1,9:43:00,9:50:00,1,4/17/2024,9:44:49,3,
Oahu_HurricaneTEST_Assessment,Group1,Alyssa Varela and Eric Conklin,Shannon R and Zack C,Oahu,Sand Island ,Snorkel Tow,H1,9:43:00,9:50:00,1,4/17/2024,9:44:52,2,
Oahu_HurricaneTEST_Assessment,Group1,Alyssa Varela and Eric Conklin,Shannon R and Zack C,Oahu,Sand Island ,Snorkel Tow,H1,9:43:00,9:50:00,1,4/17/2024,9:45:20,4,
Oahu_HurricaneTEST_Assessment,Group1,Alyssa Varela and Eric Conklin,Shannon R and Zack C,Oahu,Sand Island ,Snorkel Tow,H1,9:43:00,9:50:00,1,4/17/2024,9:45:40,1,
Oahu_HurricaneTEST_Assessment,Group1,Alyssa Varela and Eric Conklin,Shannon R and Zack C,Oahu,Sand Island ,Snorkel Tow,H1,9:43:00,9:50:00,1,4/17/2024,9:45:48,4,
Oahu_HurricaneTEST_Assessment,Group1,Alyssa Varela and Eric Conklin,Shannon R and Zack C,Oahu,Sand Island ,Snorkel Tow,H1,9:43:00,9:50:00,1,4/17/2024,9:46:20,4,
Oahu_HurricaneTEST_Assessment,Group1,Alyssa Varela and Eric Conklin,Shannon R and Zack C,Oahu,Sand Island ,Snorkel Tow,H1,9:43:00,9:50:00,1,4/17/2024,9:46:25,1,
