"","Latitude","Longitude","Group","Date","Time","in_out","Damage_Score"
"1",21.28893921,-157.9027712,"Group1",2024-04-17,2024-04-17 09:43:38,"in",3
"2",21.2889289,-157.9027868,"Group1",2024-04-17,2024-04-17 09:43:39,"in",3
"3",21.28891641,-157.9028039,"Group1",2024-04-17,2024-04-17 09:43:40,"in",3
"4",21.28890376,-157.9028209,"Group1",2024-04-17,2024-04-17 09:43:41,"in",3
"5",21.28889185,-157.9028366,"Group1",2024-04-17,2024-04-17 09:43:42,"in",3
"6",21.28888389,-157.9028521,"Group1",2024-04-17,2024-04-17 09:43:43,"in",3
"7",21.2888771,-157.9028665,"Group1",2024-04-17,2024-04-17 09:43:44,"in",3
"8",21.28887291,-157.9028818,"Group1",2024-04-17,2024-04-17 09:43:45,"in",3
"9",21.28887048,-157.9028983,"Group1",2024-04-17,2024-04-17 09:43:46,"in",3
"10",21.2888652,-157.9029161,"Group1",2024-04-17,2024-04-17 09:43:47,"in",3
"11",21.28886109,-157.9029333,"Group1",2024-04-17,2024-04-17 09:43:48,"in",3
"12",21.28885757,-157.9029494,"Group1",2024-04-17,2024-04-17 09:43:49,"in",3
"13",21.2888538,-157.9029681,"Group1",2024-04-17,2024-04-17 09:43:50,"in",1
"14",21.2888512,-157.9029887,"Group1",2024-04-17,2024-04-17 09:43:51,"in",1
"15",21.28884885,-157.9030093,"Group1",2024-04-17,2024-04-17 09:43:52,"in",1
"16",21.28884802,-157.9030288,"Group1",2024-04-17,2024-04-17 09:43:53,"in",1
"17",21.28884735,-157.9030478,"Group1",2024-04-17,2024-04-17 09:43:54,"in",1
"18",21.28884978,-157.903068,"Group1",2024-04-17,2024-04-17 09:43:55,"in",1
"19",21.28885045,-157.9030881,"Group1",2024-04-17,2024-04-17 09:43:56,"in",3
"20",21.28885061,-157.9031078,"Group1",2024-04-17,2024-04-17 09:43:57,"in",3
"21",21.28885095,-157.9031263,"Group1",2024-04-17,2024-04-17 09:43:58,"in",3
"22",21.28885095,-157.9031462,"Group1",2024-04-17,2024-04-17 09:43:59,"in",3
"23",21.2888507,-157.9031643,"Group1",2024-04-17,2024-04-17 09:44:00,"in",3
"24",21.28885154,-157.9031821,"Group1",2024-04-17,2024-04-17 09:44:01,"in",3
"25",21.2888517,-157.9032006,"Group1",2024-04-17,2024-04-17 09:44:02,"in",3
"26",21.28885405,-157.9032171,"Group1",2024-04-17,2024-04-17 09:44:03,"in",2
"27",21.28885531,-157.9032342,"Group1",2024-04-17,2024-04-17 09:44:04,"in",2
"28",21.28885875,-157.9032515,"Group1",2024-04-17,2024-04-17 09:44:05,"in",2
"29",21.28886134,-157.9032707,"Group1",2024-04-17,2024-04-17 09:44:06,"in",2
"30",21.28886419,-157.9032892,"Group1",2024-04-17,2024-04-17 09:44:07,"in",2
"31",21.28886721,-157.9033079,"Group1",2024-04-17,2024-04-17 09:44:08,"in",2
"32",21.28886897,-157.9033266,"Group1",2024-04-17,2024-04-17 09:44:09,"in",2
"33",21.28887048,-157.9033429,"Group1",2024-04-17,2024-04-17 09:44:10,"in",2
"34",21.28887182,-157.9033604,"Group1",2024-04-17,2024-04-17 09:44:11,"in",2
"35",21.28887509,-157.9033776,"Group1",2024-04-17,2024-04-17 09:44:12,"in",1
"36",21.28887794,-157.9033931,"Group1",2024-04-17,2024-04-17 09:44:13,"in",1
"37",21.28887962,-157.90341,"Group1",2024-04-17,2024-04-17 09:44:14,"in",1
"38",21.28888146,-157.9034263,"Group1",2024-04-17,2024-04-17 09:44:15,"in",1
"39",21.28888381,-157.9034442,"Group1",2024-04-17,2024-04-17 09:44:16,"in",1
"40",21.28888766,-157.90346,"Group1",2024-04-17,2024-04-17 09:44:17,"in",1
"41",21.28889303,-157.9034758,"Group1",2024-04-17,2024-04-17 09:44:18,"in",1
"42",21.2888978,-157.9034905,"Group1",2024-04-17,2024-04-17 09:44:19,"in",1
"43",21.28890267,-157.9035072,"Group1",2024-04-17,2024-04-17 09:44:20,"in",1
"44",21.28890904,-157.9035237,"Group1",2024-04-17,2024-04-17 09:44:21,"in",1
"45",21.2889165,-157.9035392,"Group1",2024-04-17,2024-04-17 09:44:22,"in",1
"46",21.28892354,-157.9035542,"Group1",2024-04-17,2024-04-17 09:44:23,"in",1
"47",21.28893024,-157.9035679,"Group1",2024-04-17,2024-04-17 09:44:24,"in",1
"48",21.28893712,-157.9035817,"Group1",2024-04-17,2024-04-17 09:44:25,"in",1
"49",21.28894634,-157.9035954,"Group1",2024-04-17,2024-04-17 09:44:26,"in",1
"50",21.28895489,-157.9036087,"Group1",2024-04-17,2024-04-17 09:44:27,"in",1
"51",21.28896486,-157.9036228,"Group1",2024-04-17,2024-04-17 09:44:28,"in",1
"52",21.2889724,-157.9036372,"Group1",2024-04-17,2024-04-17 09:44:29,"in",1
"53",21.28897961,-157.9036507,"Group1",2024-04-17,2024-04-17 09:44:30,"in",1
"54",21.28898531,-157.903665,"Group1",2024-04-17,2024-04-17 09:44:31,"in",1
"55",21.28898774,-157.9036802,"Group1",2024-04-17,2024-04-17 09:44:32,"in",1
"56",21.2889895,-157.9036937,"Group1",2024-04-17,2024-04-17 09:44:33,"in",1
"57",21.28899235,-157.9037072,"Group1",2024-04-17,2024-04-17 09:44:34,"in",1
"58",21.28899772,-157.9037216,"Group1",2024-04-17,2024-04-17 09:44:35,"in",1
"59",21.2890066,-157.9037352,"Group1",2024-04-17,2024-04-17 09:44:36,"in",1
"60",21.28902026,-157.9037478,"Group1",2024-04-17,2024-04-17 09:44:37,"in",1
"61",21.28903409,-157.9037615,"Group1",2024-04-17,2024-04-17 09:44:38,"in",1
"62",21.28904809,-157.9037767,"Group1",2024-04-17,2024-04-17 09:44:39,"in",1
"63",21.28906284,-157.9037919,"Group1",2024-04-17,2024-04-17 09:44:40,"in",1
"64",21.28907894,-157.903807,"Group1",2024-04-17,2024-04-17 09:44:41,"in",1
"65",21.28909335,-157.9038212,"Group1",2024-04-17,2024-04-17 09:44:42,"in",1
"66",21.28910601,-157.9038346,"Group1",2024-04-17,2024-04-17 09:44:43,"in",1
"67",21.28911775,-157.9038485,"Group1",2024-04-17,2024-04-17 09:44:44,"in",1
"68",21.28912588,-157.903862,"Group1",2024-04-17,2024-04-17 09:44:45,"in",1
"69",21.28913376,-157.9038756,"Group1",2024-04-17,2024-04-17 09:44:46,"in",1
"70",21.28914004,-157.9038859,"Group1",2024-04-17,2024-04-17 09:44:47,"in",1
"71",21.28914549,-157.9038969,"Group1",2024-04-17,2024-04-17 09:44:48,"in",1
"72",21.28914968,-157.90391,"Group1",2024-04-17,2024-04-17 09:44:49,"in",3
"73",21.28915538,-157.9039222,"Group1",2024-04-17,2024-04-17 09:44:50,"in",3
"74",21.28915974,-157.9039349,"Group1",2024-04-17,2024-04-17 09:44:51,"in",3
"75",21.28916795,-157.9039484,"Group1",2024-04-17,2024-04-17 09:44:52,"in",2
"76",21.28917717,-157.9039617,"Group1",2024-04-17,2024-04-17 09:44:53,"in",2
"77",21.28918933,-157.9039771,"Group1",2024-04-17,2024-04-17 09:44:54,"in",2
"78",21.28920224,-157.9039934,"Group1",2024-04-17,2024-04-17 09:44:55,"in",2
"79",21.28921456,-157.9040089,"Group1",2024-04-17,2024-04-17 09:44:56,"in",2
"80",21.28922973,-157.9040221,"Group1",2024-04-17,2024-04-17 09:44:57,"in",2
"81",21.28924431,-157.9040357,"Group1",2024-04-17,2024-04-17 09:44:58,"in",2
"82",21.2892573,-157.9040521,"Group1",2024-04-17,2024-04-17 09:44:59,"in",2
"83",21.28926778,-157.9040677,"Group1",2024-04-17,2024-04-17 09:45:00,"in",2
"84",21.28927742,-157.9040817,"Group1",2024-04-17,2024-04-17 09:45:01,"in",2
"85",21.28928362,-157.9040953,"Group1",2024-04-17,2024-04-17 09:45:02,"in",2
"86",21.28928865,-157.9041096,"Group1",2024-04-17,2024-04-17 09:45:03,"in",2
"87",21.28929217,-157.9041254,"Group1",2024-04-17,2024-04-17 09:45:04,"in",2
"88",21.28929762,-157.9041432,"Group1",2024-04-17,2024-04-17 09:45:05,"in",2
"89",21.28930123,-157.904159,"Group1",2024-04-17,2024-04-17 09:45:06,"in",2
"90",21.28930332,-157.9041755,"Group1",2024-04-17,2024-04-17 09:45:07,"in",2
"91",21.28930919,-157.9041954,"Group1",2024-04-17,2024-04-17 09:45:08,"in",2
"92",21.28931338,-157.9042127,"Group1",2024-04-17,2024-04-17 09:45:09,"in",2
"93",21.28931874,-157.9042302,"Group1",2024-04-17,2024-04-17 09:45:10,"in",2
"94",21.28932428,-157.9042455,"Group1",2024-04-17,2024-04-17 09:45:11,"in",2
"95",21.28932813,-157.904263,"Group1",2024-04-17,2024-04-17 09:45:12,"in",2
"96",21.28933249,-157.9042801,"Group1",2024-04-17,2024-04-17 09:45:13,"in",2
"97",21.28933492,-157.9042969,"Group1",2024-04-17,2024-04-17 09:45:14,"in",2
"98",21.28933819,-157.9043138,"Group1",2024-04-17,2024-04-17 09:45:15,"in",2
"99",21.28933987,-157.9043297,"Group1",2024-04-17,2024-04-17 09:45:16,"in",2
