Time,Treatment ,Replicate,JuvDen
Pre-Baseline,Control,1,3
Pre-Baseline,Control,2,1
Pre-Baseline,Control,3,1
Pre-Baseline,Control,4,0
Pre-Baseline,Control,5,0
Pre-Baseline,Control,6,4
Pre-Baseline,Control,7,2
Pre-Baseline,Control,8,1
Pre-Baseline,Control,9,0
Pre-Baseline,Control,10,2
Pre-Baseline,Boulder,1,1
Pre-Baseline,Boulder,2,3
Pre-Baseline,Boulder,3,0
Pre-Baseline,Boulder,4,1
Pre-Baseline,Boulder,5,2
Pre-Baseline,Boulder,6,1
Pre-Baseline,Boulder,7,1
Pre-Baseline,Boulder,8,1
Pre-Baseline,Boulder,9,2
Pre-Baseline,Boulder,10,1
Pre-Baseline,Reference,1,2
Pre-Baseline,Reference,2,6
Pre-Baseline,Reference,3,10
Pre-Baseline,Reference,4,2
Pre-Baseline,Reference,5,5
Pre-Baseline,Reference,6,7
Pre-Baseline,Reference,7,5
Pre-Baseline,Reference,8,1
Pre-Baseline,Reference,9,2
Pre-Baseline,Reference,10,6
Pre-Baseline,Mesh,1,4
Pre-Baseline,Mesh,2,2
Pre-Baseline,Mesh,3,0
Pre-Baseline,Mesh,4,1
Pre-Baseline,Mesh,5,1
Pre-Baseline,Mesh,6,2
Pre-Baseline,Mesh,7,0
Pre-Baseline,Mesh,8,0
Pre-Baseline,Mesh,9,1
Pre-Baseline,Mesh,10,2
T0,Control,1,3
T0,Control,2,1
T0,Control,3,1
T0,Control,4,0
T0,Control,5,0
T0,Control,6,4
T0,Control,7,2
T0,Control,8,1
T0,Control,9,0
T0,Control,10,2
T0,Boulder,1,3
T0,Boulder,2,6
T0,Boulder,3,4
T0,Boulder,4,7
T0,Boulder,5,2
T0,Boulder,6,3
T0,Boulder,7,1
T0,Boulder,8,5
T0,Boulder,9,6
T0,Boulder,10,10
T0,Reference,1,2
T0,Reference,2,6
T0,Reference,3,10
T0,Reference,4,2
T0,Reference,5,5
T0,Reference,6,7
T0,Reference,7,5
T0,Reference,8,1
T0,Reference,9,2
T0,Reference,10,6
T0,Mesh,1,4
T0,Mesh,2,2
T0,Mesh,3,0
T0,Mesh,4,1
T0,Mesh,5,1
T0,Mesh,6,2
T0,Mesh,7,0
T0,Mesh,8,0
T0,Mesh,9,1
T0,Mesh,10,2
T1,Control,1,2
T1,Control,2,2
T1,Control,3,0
T1,Control,4,1
T1,Control,5,1
T1,Control,6,3
T1,Control,7,0
T1,Control,8,2
T1,Control,9,1
T1,Control,10,1
T1,Boulder,1,5
T1,Boulder,2,8
T1,Boulder,3,6
T1,Boulder,4,6
T1,Boulder,5,5
T1,Boulder,6,4
T1,Boulder,7,3
T1,Boulder,8,9
T1,Boulder,9,10
T1,Boulder,10,16
T1,Reference,1,4
T1,Reference,2,6
T1,Reference,3,9
T1,Reference,4,3
T1,Reference,5,6
T1,Reference,6,5
T1,Reference,7,6
T1,Reference,8,3
T1,Reference,9,2
T1,Reference,10,7
T1,Mesh,1,3
T1,Mesh,2,3
T1,Mesh,3,1
T1,Mesh,4,2
T1,Mesh,5,4
T1,Mesh,6,2
T1,Mesh,7,1
T1,Mesh,8,0
T1,Mesh,9,0
T1,Mesh,10,5
